julian,date,sensor,Total N (lb/acre),NO3-N (lb/acre),NH4-N (lb/acre),Al (lb/acre),B (lb/acre),Ca (lb/acre),Cu (lb/acre),Fe (lb/acre),K (lb/acre),Mg (lb/acre),Mn (lb/acre),Na (lb/acre),P (lb/acre),S (lb/acre),Zn (lb/acre),bugs,LfAirDelta_mean,SWdw_mean,meanT_mean,prate_mean,deer,NDVI
175,2019-06-24,1C,27.6,22.06,5.54,1.8,0.02,29.72,0.06,0.62,10.84,6.66,0.2,4.72,0.28,8.26,0.1,2.255187296658045,4.467975,20.624925,22.6505,2.850895,2.0,-0.07876205617382089
175,2019-06-24,2C,107.08,97.96,9.12,7.32,0.02,145.42,0.1,1.86,73.14,23.26,1.08,7.46,1.7,12.6,0.06,1.9160937721731552,4.467975,20.624925,22.6505,2.850895,2.0,-0.01842576954163797
175,2019-06-24,3C,64.92,63.28,1.66,3.46,0.02,81.78,0.06,0.96,67.56,14.46,0.32,5.04,0.6,11.86,0.04,2.3850101922785334,4.467975,20.624925,22.6505,2.850895,0.0,0.2776343943059247
175,2019-06-24,4C,185.32,181.92,3.4,2.22,0.04,200.16,0.08,0.56,69.38,41.02,1.8,25.0,0.44,11.04,0.1,2.154285971336161,4.467975,20.624925,22.6505,2.850895,0.0,0.2321960631187266
175,2019-06-24,5C,203.24,200.2,3.04,1.84,0.02,118.6,0.06,0.52,53.24,27.06,0.12,225.42,0.22,16.34,0.06,2.0787157269778405,4.467975,20.624925,22.6505,2.850895,0.0,0.14579578518665565
175,2019-06-24,6C,334.18,331.88,2.3,2.34,0.0,216.22,0.06,0.58,44.84,33.38,0.28,442.34,0.22,22.74,0.1,2.5368815551697805,4.467975,20.624925,22.6505,2.850895,0.0,0.07092093210997782
175,2019-06-24,7C,503.06,499.38,3.68,4.78,0.0,292.4,0.2,1.3,95.02,50.1,0.52,1135.3,0.14,63.34,0.38,2.0669324951032952,4.467975,20.624925,22.6505,2.850895,0.0,-0.19455127704985964
175,2019-06-24,8C,1.84,0.0,1.84,1.16,0.0,31.28,0.08,0.66,5.28,5.58,0.04,28.68,0.2,9.48,0.02,-0.0,4.467975,20.624925,22.6505,2.850895,0.0,-0.18954526378178768
182,2019-07-01,1C,27.6,22.06,5.54,1.8,0.02,29.72,0.06,0.62,10.84,6.66,0.2,4.72,0.28,8.26,0.1,2.080735856616347,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,60.0,-0.0790011368344569
182,2019-07-01,2C,107.08,97.96,9.12,7.32,0.02,145.42,0.1,1.86,73.14,23.26,1.08,7.46,1.7,12.6,0.06,1.4508050200839238,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,60.0,0.05833162586783373
182,2019-07-01,3C,64.92,63.28,1.66,3.46,0.02,81.78,0.06,0.96,67.56,14.46,0.32,5.04,0.6,11.86,0.04,2.1317738603817973,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,1.0,0.2685268246605178
182,2019-07-01,4C,185.32,181.92,3.4,2.22,0.04,200.16,0.08,0.56,69.38,41.02,1.8,25.0,0.44,11.04,0.1,2.0823249704511397,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,1.0,0.1862936016310094
182,2019-07-01,5C,203.24,200.2,3.04,1.84,0.02,118.6,0.06,0.52,53.24,27.06,0.12,225.42,0.22,16.34,0.06,1.1637056910304326,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,3.0,0.1890905768365174
182,2019-07-01,6C,334.18,331.88,2.3,2.34,0.0,216.22,0.06,0.58,44.84,33.38,0.28,442.34,0.22,22.74,0.1,1.5234769077722567,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,3.0,0.12217911895259055
182,2019-07-01,7C,503.06,499.38,3.68,4.78,0.0,292.4,0.2,1.3,95.02,50.1,0.52,1135.3,0.14,63.34,0.38,2.262844609541101,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,9.0,-0.4495757211178513
182,2019-07-01,8C,1.84,0.0,1.84,1.16,0.0,31.28,0.08,0.66,5.28,5.58,0.04,28.68,0.2,9.48,0.02,1.63604669521195,4.848285714285715,22.667228571428574,26.284214285714285,0.6448847142857143,9.0,-0.4916997356699875
189,2019-07-08,1C,27.6,22.06,5.54,1.8,0.02,29.72,0.06,0.62,10.84,6.66,0.2,4.72,0.28,8.26,0.1,2.217430933927656,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,6.0,-0.033452276393783606
189,2019-07-08,2C,107.08,97.96,9.12,7.32,0.02,145.42,0.1,1.86,73.14,23.26,1.08,7.46,1.7,12.6,0.06,2.4096425570335884,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,6.0,0.2446963810085163
189,2019-07-08,3C,64.92,63.28,1.66,3.46,0.02,81.78,0.06,0.96,67.56,14.46,0.32,5.04,0.6,11.86,0.04,1.8347689131978662,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,5.0,0.42788589954059697
189,2019-07-08,4C,185.32,181.92,3.4,2.22,0.04,200.16,0.08,0.56,69.38,41.02,1.8,25.0,0.44,11.04,0.1,2.5780185141381065,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,5.0,0.4032397366813168
189,2019-07-08,5C,203.24,200.2,3.04,1.84,0.02,118.6,0.06,0.52,53.24,27.06,0.12,225.42,0.22,16.34,0.06,2.142071546650039,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,2.0,0.3586795533823137
189,2019-07-08,6C,334.18,331.88,2.3,2.34,0.0,216.22,0.06,0.58,44.84,33.38,0.28,442.34,0.22,22.74,0.1,2.671477571856984,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,2.0,0.425539513964268
189,2019-07-08,7C,503.06,499.38,3.68,4.78,0.0,292.4,0.2,1.3,95.02,50.1,0.52,1135.3,0.14,63.34,0.38,2.3499904241895275,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,1.0,-0.6658597827620257
189,2019-07-08,8C,1.84,0.0,1.84,1.16,0.0,31.28,0.08,0.66,5.28,5.58,0.04,28.68,0.2,9.48,0.02,2.9676569240157304,4.358142857142857,17.137561428571427,26.521114285714283,0.9417457142857144,1.0,-0.4563095758325073
197,2019-07-16,1C,27.6,22.06,5.54,1.8,0.02,29.72,0.06,0.62,10.84,6.66,0.2,4.72,0.28,8.26,0.1,2.6475710492818925,1.9957,4.65702145,24.82015,4.2433587500000005,8.0,-0.04088195527821114
197,2019-07-16,2C,107.08,97.96,9.12,7.32,0.02,145.42,0.1,1.86,73.14,23.26,1.08,7.46,1.7,12.6,0.06,2.931250346516017,1.9957,4.65702145,24.82015,4.2433587500000005,8.0,0.2869711662899246
197,2019-07-16,3C,64.92,63.28,1.66,3.46,0.02,81.78,0.06,0.96,67.56,14.46,0.32,5.04,0.6,11.86,0.04,2.0917915210966416,1.9957,4.65702145,24.82015,4.2433587500000005,1.0,0.41967691318579575
197,2019-07-16,4C,185.32,181.92,3.4,2.22,0.04,200.16,0.08,0.56,69.38,41.02,1.8,25.0,0.44,11.04,0.1,1.1424903870502934,1.9957,4.65702145,24.82015,4.2433587500000005,1.0,0.4925117634773208
197,2019-07-16,5C,203.24,200.2,3.04,1.84,0.02,118.6,0.06,0.52,53.24,27.06,0.12,225.42,0.22,16.34,0.06,2.0973849643582128,1.9957,4.65702145,24.82015,4.2433587500000005,0.0,0.3766145368608624
197,2019-07-16,6C,334.18,331.88,2.3,2.34,0.0,216.22,0.06,0.58,44.84,33.38,0.28,442.34,0.22,22.74,0.1,1.9065653840377463,1.9957,4.65702145,24.82015,4.2433587500000005,0.0,0.5097691720161154
197,2019-07-16,7C,503.06,499.38,3.68,4.78,0.0,292.4,0.2,1.3,95.02,50.1,0.52,1135.3,0.14,63.34,0.38,2.8547868050324774,1.9957,4.65702145,24.82015,4.2433587500000005,1.0,-0.6676227849254538
197,2019-07-16,8C,1.84,0.0,1.84,1.16,0.0,31.28,0.08,0.66,5.28,5.58,0.04,28.68,0.2,9.48,0.02,2.6215605193727103,1.9957,4.65702145,24.82015,4.2433587500000005,1.0,-0.4343046757164405
203,2019-07-22,1C,27.6,22.06,5.54,1.8,0.02,29.72,0.06,0.62,10.84,6.66,0.2,4.72,0.28,8.26,0.1,1.8959587861077931,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,5.0,0.0206854276729945
203,2019-07-22,2C,107.08,97.96,9.12,7.32,0.02,145.42,0.1,1.86,73.14,23.26,1.08,7.46,1.7,12.6,0.06,2.471365850200548,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,5.0,0.2773906025357165
203,2019-07-22,3C,64.92,63.28,1.66,3.46,0.02,81.78,0.06,0.96,67.56,14.46,0.32,5.04,0.6,11.86,0.04,2.546116528723703,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,2.0,0.4839481224029815
203,2019-07-22,4C,185.32,181.92,3.4,2.22,0.04,200.16,0.08,0.56,69.38,41.02,1.8,25.0,0.44,11.04,0.1,1.8003160881605755,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,2.0,0.5743142159928387
203,2019-07-22,5C,203.24,200.2,3.04,1.84,0.02,118.6,0.06,0.52,53.24,27.06,0.12,225.42,0.22,16.34,0.06,1.1490596969706204,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,2.0,0.3869270817546661
203,2019-07-22,6C,334.18,331.88,2.3,2.34,0.0,216.22,0.06,0.58,44.84,33.38,0.28,442.34,0.22,22.74,0.1,2.669379794450857,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,2.0,0.5559612582897238
203,2019-07-22,7C,503.06,499.38,3.68,4.78,0.0,292.4,0.2,1.3,95.02,50.1,0.52,1135.3,0.14,63.34,0.38,2.435040163069225,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,2.0,-0.5330167754834275
203,2019-07-22,8C,1.84,0.0,1.84,1.16,0.0,31.28,0.08,0.66,5.28,5.58,0.04,28.68,0.2,9.48,0.02,2.492983223151436,6.1446499999999995,22.04425,28.016566666666673,5.028367833333333,2.0,-0.4393795287443242
