,time,device,location,lat,long,CGDD,Cl,ET,GDD,LfAirDelta,NDVI,SWdw,maxT,meanT,minT,prate,precip,SLP,Kc,ETc,mean_tbelow,lfw,crop_water_demand,sunshine_duration
0,2019-06-07T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,,0.270593,2.59389,14.3498,3.8778,0.182613,10.831,30.3799,24.7563,18.3198,,,1015.35697812,0.09356735,0.24270377,25.5588,2.3333,-0.242704,5.83333333
1,2019-06-08T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,9.1289,0.27710100000000004,4.57712,9.1289,4.9983,0.179464,25.0879,24.133000000000003,19.3085,14.1248,,,1020.90102416,0.08897836,0.40726445,21.2749,6.8333,-0.407264,12.0
2,2019-06-09T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,16.8954,0.277192,4.9111199999999995,7.7665,6.7777,0.17560599999999998,28.0319,23.8289,17.6969,11.7041,0.00418982,0.00418982,1025.35164462,0.08335851,0.40938401,20.0073,3.75,-0.405194,12.0
3,2019-06-10T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7226,26.3201,0.241612,0.364388,9.4247,1.0706,0.21663200000000002,6.4392,24.025,19.0152,14.8244,5.666440000000001,5.666440000000001,1017.75360546,0.14313251,0.05215582,19.4122,11.4167,5.61428,6.91666667
4,2019-06-11T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,36.1872,0.29076599999999997,4.93693,9.8671,6.5858,0.23878600000000003,26.4861,24.664,20.2859,15.0702,0.9715090000000001,0.971508,1015.17992712,0.17541059,0.86599033,22.0504,7.0,0.105518,11.16666667
5,2019-06-12T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,42.2242,0.293527,4.69069,6.037000000000001,7.4942,0.235605,25.8973,22.256999999999998,17.0184,9.817,0.0,0.0,1022.19213008,0.17077711,0.80106277,19.6576,0.25,-0.801063,11.66666667
6,2019-06-13T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7226,48.6979,0.287256,1.60461,6.4737,3.783,0.265942,11.9966,20.3748,16.9124,12.5726,35.3615,35.3615,1011.86421126,0.2149768,0.34495424,18.1593,5.1667,35.0165,8.0
7,2019-06-14T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7226,56.292,0.30051100000000003,4.03806,7.59405,5.69195,0.277385,22.7411,23.4558,16.8529,11.7323,0.0,0.0,1014.77381988,0.23165017,0.93541774,19.0444,6.6667,-0.9354180000000001,11.75
8,2019-06-15T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,64.2771,0.293157,5.28298,7.98515,6.8654,0.278019,27.3622,26.7173,19.004,9.253,0.0,0.0,1019.46632456,0.23257408,1.22868532,21.4095,4.0,-1.22869,11.58333333
9,2019-06-16T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,78.0007,0.294607,3.28021,13.7236,1.54525,0.315756,18.0022,29.6282,22.814,17.819000000000003,8.42373,8.42373,1013.07552851,0.28755592,0.94324478,23.6761,5.4167,7.48049,9.41666667
10,2019-06-17T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7226,93.1947,0.300666,2.21159,15.194,1.11305,0.37567399999999995,13.6354,31.0426,23.3557,19.3454,5.94722,5.94722,1015.77269694,0.37485642,0.82902789,23.434,12.5,5.11819,10.0
11,2019-06-18T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3036,-74.7225,106.834,0.301469,1.03314,13.6397,0.81255,0.41017,10.3993,27.5984,22.1173,19.680999999999997,20.358,20.358,1014.32823401,0.42511724,0.43920576,22.4576,15.6668,19.9188,6.83333333
12,2019-06-19T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,118.43299999999999,0.317657,-0.03754,11.5986,0.62485,0.410728,5.60229,23.1038,21.1832,20.0935,7.0812,7.0812,1011.51446208,0.42592999,-0.01598943,21.3167,18.3333,7.097189999999999,5.41666667
13,2019-06-20T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,133.47299999999998,0.317056,1.37015,15.0405,0.79615,0.434108,11.6761,31.1924,23.2951,18.8885,7.75663,7.75663,1003.31736108,0.45999484,0.63026257,23.4657,15.0001,7.12637,8.0
14,2019-06-21T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,145.30700000000002,0.334955,3.14885,11.833,2.4263,0.441327,18.2056,26.0328,21.6651,17.6333,3.00445,3.00445,1004.87099979,0.47051339,1.4815748,22.3527,7.0,1.52288,11.08333333
15,2019-06-22T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7226,155.721,0.321022,5.63889,10.4149,5.1119,0.431447,27.4433,27.2663,20.4703,13.5635,0.0,0.0,1014.72053527,0.45611777,2.57199957,22.1808,1.8333,-2.572,11.83333333
16,2019-06-23T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3036,-74.7225,167.416,0.30549899999999997,6.21747,11.695,5.69035,0.430519,29.2537,30.8055,21.3836,12.5844,0.0,0.0,1016.54921413,0.45476645,2.8274981,23.109,0.1667,-2.8275099999999997,11.83333333
17,2019-06-24T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7226,180.613,0.313867,4.6124,13.1961,2.4054,0.456342,21.8056,33.3488,23.7302,13.0435,0.0,0.0,1013.09111469,0.49238971,2.2710972000000003,24.5664,5.25,-2.2711,11.41666667
18,2019-06-25T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,197.787,0.325142,3.35865,17.1744,1.8361,0.50781,18.1989,33.7596,25.1181,20.5893,3.51534,3.51534,1011.80595761,0.56737959,1.90562962,25.4217,10.5,1.60971,9.41666667
19,2019-06-26T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,213.438,0.30703,6.30626,15.6508,4.4722,0.432724,29.3751,33.951,25.7181,17.3506,0.0,0.0,1017.78867903,0.45797858,2.88813143,26.7958,4.8334,-2.88813,11.91666667
20,2019-06-27T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7226,229.47799999999998,0.308192,5.97009,16.0403,3.64895,0.435696,27.7173,33.6444,26.3598,18.4361,0.0,0.0,1021.37674532,0.46230944,2.76002946,27.5068,7.4999,-2.76003,11.83333333
21,2019-06-28T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,245.94299999999998,0.30853600000000003,5.45213,16.4648,4.553999999999999,0.45682399999999995,26.2721,35.4165,25.954,17.512999999999998,4.7054599999999995,4.7054599999999995,1022.18809319,0.49309222,2.68840215,27.0096,10.5,2.01706,11.25
22,2019-06-29T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,262.058,0.309767,4.4128,16.1149,4.4781,0.42605299999999996,22.6866,33.6918,25.0675,18.538,2.24791,2.24791,1017.26990006,0.44825862,1.97807563,25.8219,11.4166,0.269834,9.5
23,2019-06-30T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,276.041,0.32000100000000004,5.58383,13.9831,3.85565,0.410721,26.7324,29.7364,24.1713,18.2297,0.0,0.0,1011.05704503,0.42591995,2.37826328,25.2819,6.75,-2.37826,11.75
24,2019-07-01T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3034,-74.7225,289.772,0.306757,6.4414,13.7308,5.0079,0.41022299999999995,29.4016,32.7918,23.7623,14.6697,0.0,0.0,1014.86129294,0.42519514,2.73885198,25.1641,0.0,-2.73885,11.83333333
25,2019-07-02T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,304.651,0.309123,5.02839,14.8799,5.00615,0.422158,24.8983,34.5904,24.9853,15.1694,1.34579,1.34579,1012.09259044,0.44258423,2.22548535,25.9848,9.5,-0.8796950000000001,11.25
26,2019-07-03T00:00:00Z,A000715,5cfa8fee388cfb6d1060cec8,40.3035,-74.7225,322.645,0.31742800000000004,3.4412300000000005,17.9938,2.5529,0.465138,18.8526,34.5402,26.2878,21.4474,0.0,0.0,1013.07291899,0.50520542,1.73852599,26.7479,10.3334,-1.73853,10.5
