,time,device,location,lat,long,CGDD,Cl,ET,GDD,LfAirDelta,NDVI,SWdw,maxT,meanT,minT,prate,precip,SLP,Kc,ETc,mean_tbelow,lfw,crop_water_demand,sunshine_duration
0,2019-06-12T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3033,-74.7231,,0.21146500000000001,2.80092,9.33235,7.0689,0.385743,14.7525,23.123,19.0001,15.5417,0.0,0.0,1020.97419398,0.38952697,1.09103561,22.2517,0.3333,-1.09104,5.5
1,2019-06-13T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,7.1526,0.190864,1.79892,7.15255,3.73535,0.419213,11.6368,21.5981,17.0905,12.707,45.4857,45.4857,1011.2096903999999,0.43829269,0.78845424,18.7185,2.75,44.6972,7.91666667
2,2019-06-14T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,14.9297,0.20845500000000003,4.13959,7.7772,5.56395,0.45345100000000005,21.4199,23.7061,17.6667,11.8483,0.0,0.0,1014.30555504,0.48817864,2.02085841,19.9708,6.8333,-2.02086,10.41666667
3,2019-06-15T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,24.112,0.212579,5.67973,9.18225,5.08345,0.47024099999999996,26.1101,28.5488,20.43,9.815710000000001,0.0,0.0,1019.25436743,0.51264064,2.9116603,22.1979,1.1667,-2.91166,10.5
4,2019-06-16T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,39.11,0.204793,3.61761,14.998,0.30535,0.49207,17.6248,31.0874,23.6739,18.9086,10.8817,10.8817,1012.88028073,0.54444559,1.96958992,24.3663,4.6667,8.91211,9.33333333
5,2019-06-17T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,55.4946,0.20498400000000003,2.38108,16.3846,-0.27455,0.545031,13.1871,33.1626,23.9081,19.6067,8.27815,8.27815,1015.61375437,0.62161034,1.48010182,24.0377,11.1667,6.79805,9.91666667
6,2019-06-18T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.7231,69.9834,0.20407,1.28964,14.4888,0.98625,0.566846,10.1532,29.1246,22.6017,19.8531,29.5978,29.5978,1014.31412069,0.65339439,0.84264458,22.9454,12.75,28.7552,6.91666667
7,2019-06-19T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.7231,81.209,0.199745,0.152266,11.2256,0.80665,0.570059,5.43976,23.199,21.36,19.2522,13.2172,13.2172,1011.47718673,0.65807545,0.10020267,21.8049,17.3334,13.1172,4.91666667
8,2019-06-20T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,95.5467,0.21547199999999997,1.60461,14.3377,0.10595,0.60473,11.0798,31.8066,23.3349,16.8687,18.4797,18.4797,1003.44422801,0.70859219,1.13701465,23.8527,13.25,17.3427,7.5
9,2019-06-21T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,107.271,0.230802,3.12988,11.7246,3.1406,0.589316,16.9116,27.0164,21.8214,16.4327,4.0311,4.0311,1004.95224278,0.68613366,2.14751506,22.8001,7.25,1.88358,9.58333333
10,2019-06-22T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,118.374,0.230882,5.7683,11.1027,4.8157,0.6089439999999999,26.1307,28.2125,21.12,13.993,0.0,0.0,1014.74731919,0.71473095,4.1227845,22.8135,1.3333,-4.1227800000000006,10.66666667
11,2019-06-23T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.7229,130.786,0.221982,6.48928,12.4119,4.1424,0.6188170000000001,28.0063,32.1851,22.2911,12.6387,0.0,0.0,1016.40695349,0.72911645,4.73143826,23.5766,0.0,-4.73144,10.41666667
12,2019-06-24T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,143.916,0.215879,4.92433,13.1303,1.70895,0.6180260000000001,21.1245,32.5064,24.2261,13.7542,0.0,0.0,1012.7574277999998,0.72796448,3.58473895,24.9194,3.75,-3.58474,11.16666667
13,2019-06-25T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,161.076,0.221714,3.67171,17.1595,2.42525,0.651664,17.5311,33.5228,25.6554,20.7962,3.9067800000000004,3.9067800000000004,1011.69833526,0.77697467,2.85282641,26.0061,7.5833,1.05395,9.16666667
14,2019-06-26T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.7229,176.80200000000002,0.22761599999999999,6.58639,15.7263,3.1566,0.668988,28.1359,33.7048,26.1647,17.7478,0.0,0.0,1017.5745066,0.80221511,5.28369916,26.9122,2.6666,-5.2837,10.41666667
15,2019-06-27T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,193.088,0.218452,6.02422,16.2859,4.8844,0.585036,26.4363,33.8121,26.7918,18.7598,0.0,0.0,1021.0564760999999,0.67989686,4.09584918,28.0691,4.4167,-4.09585,10.33333333
16,2019-06-28T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,209.55700000000002,0.21877800000000003,5.60953,16.469,4.53635,0.5870850000000001,25.4218,35.3992,26.2486,17.5389,5.453790000000001,5.453790000000001,1021.90328773,0.68288281,3.83064977,27.5771,9.6667,1.62314,11.16666667
17,2019-06-29T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,226.687,0.202024,4.4558800000000005,17.1305,4.74685,0.42162700000000003,22.1612,35.5174,25.6415,18.7436,2.4514,2.4514,1016.89324522,0.44181032,1.96865353,26.8816,10.75,0.482746,9.33333333
18,2019-06-30T00:00:00Z,A000814,5d01209306f14dcfeac4374d,40.3032,-74.723,241.976,0.20836100000000002,5.54126,15.2884,5.2269,0.421512,25.4512,32.0126,24.6085,18.5641,0.0,0.0,1010.93038066,0.44164282,2.44725828,26.2752,6.5,-2.44726,10.33333333
