,time,device,lat,long,batt_current,batt_pct,orient_x,orient_y,orient_z,elev,sys_temp,fw,rssi,auxb_present,auxb_charging,auxb_rev,iccid
0,2019-06-12T15:56:03Z,A000814,40.3035,-74.7231,-525.0,93.0,18.78,-7.122000000000001,291.3,3.0,39.15,Release-0.2.1.0,,,,,8944500308175776734F
1,2019-06-12T16:00:20Z,A000814,,,-499.0,91.75,-50.55,10.82,239.0,,38.82,Release-0.2.1.0,-79.0,False,False,0.0,
2,2019-06-12T16:05:23Z,A000814,,,-451.2,89.2,83.98,0.1796,186.3,,38.56,Release-0.2.1.0,,False,False,0.0,
3,2019-06-12T16:06:43Z,A000814,,,,,,,,,,Release-0.2.1.0,,,,,
4,2019-06-12T16:09:10Z,A000814,40.3032,-74.723,-437.0,86.0,-17.61,15.85,101.6,9.0,36.35,Release-0.2.1.0,,,,,8944500308175776734F
5,2019-06-12T16:13:25Z,A000814,,,-362.5,85.45,9.59,-31.76,258.1,,38.14,Release-0.2.1.0,-77.0,False,False,0.0,
6,2019-06-12T16:18:30Z,A000814,,,53.35,85.0,1.499,-1.393,318.4,,40.58,Release-0.2.1.0,,False,False,0.0,
7,2019-06-12T16:23:32Z,A000814,,,75.7,85.0,1.219,-1.06,320.4,,42.49,Release-0.2.1.0,,False,False,0.0,
8,2019-06-12T16:28:34Z,A000814,,,97.7,85.35,-2.775,0.4506,323.1,,44.7,Release-0.2.1.0,,False,False,0.0,
9,2019-06-12T16:33:36Z,A000814,,,95.75,86.0,-14.21,4.461,323.2,,47.09,Release-0.2.1.0,,False,False,0.0,
10,2019-06-12T16:38:37Z,A000814,,,83.55,86.15,-11.18,3.472,323.8,,48.39,Release-0.2.1.0,,False,False,0.0,
11,2019-06-12T16:43:39Z,A000814,,,81.25,87.0,-2.255,-0.04947,321.2,,46.83,Release-0.2.1.0,,False,False,0.0,
12,2019-06-12T16:48:41Z,A000814,,,111.2,87.0,-13.89,4.2219999999999995,323.4,,46.61,Release-0.2.1.0,,False,False,0.0,
13,2019-06-12T16:53:42Z,A000814,,,109.1,88.0,-7.76,2.313,323.6,,48.86,Release-0.2.1.0,,False,False,0.0,
14,2019-06-12T16:58:43Z,A000814,,,94.4,88.0,-11.43,3.2310000000000003,326.2,,49.22,Release-0.2.1.0,,False,False,0.0,
15,2019-06-12T17:03:45Z,A000814,,,93.85,88.95,-13.76,4.0969999999999995,324.6,,48.57,Release-0.2.1.0,,False,False,0.0,
16,2019-06-12T17:08:46Z,A000814,,,99.0,89.0,-14.51,4.439,323.2,,48.44,Release-0.2.1.0,,False,False,0.0,
17,2019-06-12T17:13:48Z,A000814,,,20.4,89.8,-11.83,3.1710000000000003,325.1,,48.44,Release-0.2.1.0,-83.0,False,False,0.0,
18,2019-06-12T17:18:49Z,A000814,,,65.75,90.0,0.2037,2.9810000000000003,322.7,,49.15,Release-0.2.1.0,,False,False,0.0,
19,2019-06-12T17:23:51Z,A000814,,,65.7,90.0,-3.6039999999999996,0.3008,319.5,,44.93,Release-0.2.1.0,,False,False,0.0,
20,2019-06-12T17:28:52Z,A000814,,,92.05,90.35,-10.26,2.7910000000000004,322.4,,46.47,Release-0.2.1.0,,False,False,0.0,
21,2019-06-12T17:33:54Z,A000814,,,59.2,91.0,-4.445,1.237,321.8,,46.89,Release-0.2.1.0,,False,False,0.0,
22,2019-06-12T17:38:55Z,A000814,,,29.95,91.0,-3.092,0.3769,321.3,,47.08,Release-0.2.1.0,,False,False,0.0,
23,2019-06-12T17:43:57Z,A000814,,,39.45,91.0,-14.35,4.342,322.9,,45.87,Release-0.2.1.0,,False,False,0.0,
24,2019-06-12T17:48:58Z,A000814,,,49.75,91.0,-2.394,4.445,323.1,,46.56,Release-0.2.1.0,,False,False,0.0,
25,2019-06-12T17:54:00Z,A000814,,,64.65,91.7,-4.708,1.5759999999999998,323.4,,46.91,Release-0.2.1.0,,False,False,0.0,
26,2019-06-12T17:59:01Z,A000814,,,32.35,92.0,4.2010000000000005,0.09168,322.2,,44.95,Release-0.2.1.0,,False,False,0.0,
27,2019-06-12T18:04:03Z,A000814,,,35.6,92.0,-6.124,1.8219999999999998,322.3,,44.55,Release-0.2.1.0,,False,False,0.0,
