,time,device,location,lat,long,CGDD,Cl,ET,GDD,LfAirDelta,NDVI,SWdw,maxT,meanT,minT,prate,precip,SLP,Kc,ETc,mean_tbelow,lfw,crop_water_demand,sunshine_duration
0,2019-06-06T00:00:00Z,A000810,5cf967283f41ac2cd7e46f4e,40.3117,-74.7132,,,1.19591,16.4028,,,5.36642,34.1392,25.9678,18.6665,,,1009.77982475,,,27.1865,0.0,0.0,3.66666667
1,2019-06-07T00:00:00Z,A000810,5cf967283f41ac2cd7e46f4e,40.3117,-74.7131,14.6283,0.117828,2.81682,14.6283,3.94015,0.409804,14.5193,32.7961,23.3088,16.4604,,,1013.02655617,0.4245842000000001,1.19597855,24.8103,0.0,-1.1959799999999998,10.25
2,2019-06-08T00:00:00Z,A000810,5cf967283f41ac2cd7e46f4e,40.3117,-74.7131,28.1136,0.119474,4.34888,13.4853,4.3629,0.42985,20.8801,31.9733,22.1518,14.9973,,,1018.85534157,0.45379105,1.97348441,24.3625,0.0,-1.97348,10.83333333
3,2019-06-09T00:00:00Z,A000810,5cf967283f41ac2cd7e46f4e,40.3117,-74.7131,39.7618,0.118676,4.65152,11.6482,5.50455,0.439622,22.7577,31.2028,20.3632,12.0935,,,1023.58568343,0.46802887,2.17704739,22.9575,0.0,-2.17705,10.16666667
4,2019-06-10T00:00:00Z,A000810,5cf967283f41ac2cd7e46f4e,40.3117,-74.7132,50.3533,0.17180399999999998,0.285893,10.5915,1.58575,0.558951,5.12745,25.9934,20.0271,15.1896,5.14973,5.14973,1016.10925607,0.64189099,0.18351226,21.386,1.1666,4.96622,5.41666667
5,2019-06-11T00:00:00Z,A000810,5cf967283f41ac2cd7e46f4e,40.3117,-74.7132,62.6004,0.137457,4.56273,12.2471,7.8096,0.551611,23.2995,29.5943,21.5326,14.8999,1.05511,1.05511,1013.44109188,0.63119788,2.87998284,24.5592,0.9167,-1.82487,11.16666667
6,2019-06-12T00:00:00Z,A000810,5cf967283f41ac2cd7e46f4e,40.3117,-74.7132,72.4555,0.139335,4.27895,9.8551,7.2417,0.5577310000000001,20.4929,29.474,19.1481,10.2362,0.0,0.0,1020.40863564,0.6401146,2.73901659,21.6235,0.0,-2.73902,9.66666667
7,2019-06-13T00:00:00Z,A000810,5cf967283f41ac2cd7e46f4e,40.3117,-74.7131,81.1927,0.16051600000000002,1.52158,8.7372,3.45495,0.610276,9.55528,24.8319,18.1385,12.6425,35.7279,35.7279,1009.99259695,0.71667169,1.09047155,20.2286,0.0,34.6374,7.75
8,2019-06-14T00:00:00Z,A000810,5cf967283f41ac2cd7e46f4e,40.3117,-74.7131,89.4912,0.16308499999999998,3.38931,8.2985,9.00175,0.612738,18.5843,24.2576,17.0462,12.3394,0.0,0.0,1012.9314789999999,0.72025875,2.44118184,20.3792,0.0,-2.44118,9.91666667
9,2019-06-15T00:00:00Z,A000810,5cf967283f41ac2cd7e46f4e,40.3117,-74.7132,99.1821,0.14141900000000002,4.49592,9.6909,5.9086,0.607558,21.128,29.8392,20.1391,9.5426,0.0,0.0,1017.72188398,0.71271224,3.20429951,22.4915,0.0,-3.2043,9.33333333
10,2019-06-16T00:00:00Z,A000810,5cf967283f41ac2cd7e46f4e,40.3116,-74.7132,114.196,0.165712,2.69106,15.0135,1.68645,0.639379,13.7655,31.3308,23.7888,18.6962,3.13667,3.13667,1011.51427207,0.75907462,2.04271875,25.0052,0.0,1.09395,8.66666667
