,time,device,location,lat,long,CGDD,Cl,ET,GDD,LfAirDelta,NDVI,SWdw,maxT,meanT,minT,prate,precip,SLP,Kc,ETc,mean_tbelow,lfw,crop_water_demand,sunshine_duration
0,2019-05-09T00:00:00Z,A001997,5cc71bf3388cfb3960d7ae19,37.4642,-121.92,,0.184359,0.531998,15.663,-0.3972,-0.5975090000000001,0.059117499999999996,26.2962,25.8716,25.0298,0.042465800000000005,0.042465800000000005,1008.9282879000001,-1.0430709999999999,-0.55491146,25.3592,0.0833,0.307728,
1,2019-05-10T00:00:00Z,A001997,5cc71bf3388cfb3960d7ae19,37.4641,-121.919,,0.0174841,1.0554299999999999,15.2017,0.20645,-0.6897310000000001,0.133651,27.6961,25.2545,22.7073,0.306101,0.306101,1011.34602583,-1.1774377,-1.242704,24.9306,0.0,1.21536,
2,2019-05-11T00:00:00Z,A001997,5cc71bf3388cfb3960d7ae19,37.4641,-121.919,,0.13930599999999999,1.14392,15.6731,-0.593,-0.284605,0.12495099999999999,26.814,25.348000000000003,24.5322,,,1015.97711058,-0.58716901,-0.67167402,24.8275,0.0,0.507497,
3,2019-05-12T00:00:00Z,A001997,5cc71bf3388cfb3960d7ae19,37.4641,-121.92,,0.21501599999999998,1.167,16.4345,-0.517,-0.168951,0.12655,28.4965,25.8865,24.3724,,,1016.87886339,-0.41866134,-0.48857697,25.1909,0.0,0.348025,
4,2019-05-13T00:00:00Z,A001997,5cc71bf3388cfb3960d7ae19,37.4641,-121.92,,,0.502024,14.7234,,,0.060712999999999996,25.7774,24.495,23.6694,0.0765567,0.0765566,1018.30406628,,,24.15,0.1666,,
5,2019-07-02T00:00:00Z,A001997,5d1bb0edc20513381fd6c416,40.3425,-74.7679,,,0.582784,18.0555,,,2.7427900000000003,34.5886,26.7258,21.5224,2.77371,2.77371,1009.68651765,,,26.229,3.3334,2.77371,2.66666667
6,2019-07-03T00:00:00Z,A001997,5d1bb0edc20513381fd6c416,40.3425,-74.7679,18.444000000000003,0.31938099999999997,4.29684,18.444000000000003,1.2417,0.633289,21.0002,35.3908,27.1728,21.4972,0.0,0.0,1012.00816542,0.75020201,3.22349876,27.3584,8.6667,-3.2235,10.41666667
7,2019-07-04T00:00:00Z,A001997,5d1bb0edc20513381fd6c416,40.3424,-74.7678,35.4179,0.350681,6.212940000000001,16.9739,2.98325,0.625816,28.7559,34.3054,26.7854,19.6425,0.0,0.0,1017.96363109,0.73931319,4.59330879,27.3915,6.9166,-4.5933,11.66666667
8,2019-07-05T00:00:00Z,A001997,5d1bb0edc20513381fd6c416,40.3424,-74.7678,53.0588,0.355649,3.5228800000000002,17.6409,3.2853,0.6706949999999999,18.2486,33.8712,26.478,21.4105,0.0,0.0,1020.5774239,0.80470292,2.83487238,26.7524,8.6666,-2.83487,10.41666667
9,2019-07-06T00:00:00Z,A001997,5d1bb0edc20513381fd6c416,40.3424,-74.7678,70.6768,0.41453999999999996,2.7719,17.618,-2.0624,0.7155199999999999,15.7387,33.268,26.3638,21.968000000000004,31.1413,31.1413,1014.98354204,0.87001288,2.41159082,26.3411,11.75,28.7297,9.08333333
10,2019-07-07T00:00:00Z,A001997,5d1bb0edc20513381fd6c416,40.3424,-74.7678,87.5854,0.380896,4.4007,16.9086,0.2442,0.734254,21.228,33.066,25.7817,20.7512,0.0,0.0,1013.85628459,0.89730761,3.94878068,25.4922,7.5834,-3.94878,10.33333333
11,2019-07-08T00:00:00Z,A001997,5d1bb0edc20513381fd6c416,40.3424,-74.7679,104.477,0.466215,2.42968,16.8915,0.03135,0.750391,13.3751,34.701,23.2862,19.0819,17.1896,17.1896,1016.72900032,0.92081992,2.23730126,23.3327,5.75,14.9523,7.66666667
12,2019-07-09T00:00:00Z,A001997,5d1bb0edc20513381fd6c416,40.3424,-74.7679,120.00299999999999,0.372529,5.51529,15.5262,3.326,0.750458,25.1114,34.703,25.561999999999998,16.3495,0.0,0.0,1018.84577425,0.92091717,5.07912768,26.5349,9.9167,-5.07913,11.75
13,2019-07-10T00:00:00Z,A001997,5d1bb0edc20513381fd6c416,40.3425,-74.7679,137.289,0.376952,4.84058,17.2859,3.42445,0.7642680000000001,22.0337,35.7304,26.7863,18.8415,0.0,0.0,1018.76084647,0.94103905,4.55517717,27.0736,7.0,-4.55518,11.25
