,time,device,lat,long,batt_current,batt_pct,orient_x,orient_y,orient_z,elev,sys_temp,fw,rssi,auxb_present,auxb_charging,auxb_rev,iccid
0,2019-05-09T18:58:51Z,A001997,,,,,,,,,,Release-0.2.1.0,,,,,
1,2019-05-09T19:47:25Z,A001997,,,,,,,,,,Release-0.2.1.0,,,,,
2,2019-05-09T19:47:32Z,A001997,37.4644,-121.919,-376.0,75.0,-5.078,0.6787,8.086,-41.0,24.75,Release-0.2.1.0,,,,,8944500308175766768F
3,2019-05-09T19:51:43Z,A001997,,,-69.8,74.5,1.695,0.8897,161.9,,24.88,Release-0.2.1.0,-81.0,False,False,0.0,
4,2019-05-09T19:56:44Z,A001997,,,0.0,74.0,2.228,0.7606,147.3,,24.88,Release-0.2.1.0,,False,False,0.0,
5,2019-05-09T20:01:41Z,A001997,,,-4.4,74.0,0.2728,0.2189,73.14,,24.96,Release-0.2.1.0,,False,False,0.0,
6,2019-05-09T20:06:45Z,A001997,,,-1.45,74.0,-0.03639,0.301,60.68,,25.14,Release-0.2.1.0,,False,False,0.0,
7,2019-05-09T20:11:45Z,A001997,,,0.0,74.0,1.205,-0.217,60.26,,25.05,Release-0.2.1.0,,False,False,0.0,
8,2019-05-09T20:16:46Z,A001997,,,0.0,74.0,1.524,-0.3643,59.66,,24.97,Release-0.2.1.0,,False,False,0.0,
9,2019-05-09T20:21:47Z,A001997,,,0.0,74.0,1.6969999999999998,-0.4335,61.39,,24.88,Release-0.2.1.0,,False,False,0.0,
10,2019-05-09T20:26:48Z,A001997,,,0.0,74.0,4.78,-1.348,60.13,,24.83,Release-0.2.1.0,,False,False,0.0,
11,2019-05-09T20:31:48Z,A001997,,,0.0,74.0,1.72,-0.2977,57.4,,24.76,Release-0.2.1.0,,False,False,0.0,
12,2019-05-09T20:36:49Z,A001997,,,0.0,74.0,1.536,-0.371,59.15,,24.75,Release-0.2.1.0,,False,False,0.0,
13,2019-05-09T20:41:50Z,A001997,,,0.0,74.0,1.913,-0.4321,62.56,,24.75,Release-0.2.1.0,,False,False,0.0,
14,2019-05-09T20:46:51Z,A001997,,,0.0,74.0,2.49,-0.6884,61.98,,24.71,Release-0.2.1.0,,False,False,0.0,
15,2019-05-09T20:51:52Z,A001997,,,-48.25,74.0,1.965,-0.5743,64.89,,24.85,Release-0.2.1.0,-81.0,False,False,0.0,
16,2019-05-09T20:56:53Z,A001997,,,0.0,74.0,3.701,-1.083,62.69,,24.85,Release-0.2.1.0,,False,False,0.0,
17,2019-05-09T21:01:53Z,A001997,,,0.0,74.0,3.1289999999999996,-0.8765,61.97,,24.75,Release-0.2.1.0,,False,False,0.0,
18,2019-05-09T21:06:54Z,A001997,,,0.0,74.0,4.916,-1.486,62.26,,24.73,Release-0.2.1.0,,False,False,0.0,
19,2019-05-09T21:11:55Z,A001997,,,0.0,74.0,4.76,-1.4469999999999998,62.24,,24.65,Release-0.2.1.0,,False,False,0.0,
20,2019-05-09T21:16:56Z,A001997,,,0.0,74.0,3.404,-0.9934,62.98,,24.65,Release-0.2.1.0,,False,False,0.0,
21,2019-05-09T21:21:56Z,A001997,,,0.0,74.0,2.148,-0.5426,61.04,,24.66,Release-0.2.1.0,,False,False,0.0,
22,2019-05-09T21:26:57Z,A001997,,,0.0,74.0,1.474,-0.2867,62.4,,24.74,Release-0.2.1.0,,False,False,0.0,
23,2019-05-09T21:31:58Z,A001997,,,0.0,74.0,1.004,-0.1445,62.85,,24.75,Release-0.2.1.0,,False,False,0.0,
24,2019-05-09T21:36:59Z,A001997,,,0.0,74.0,0.8831,-0.052989999999999995,63.13,,24.75,Release-0.2.1.0,,False,False,0.0,
25,2019-05-09T21:41:59Z,A001997,,,0.0,74.0,2.169,-0.522,61.55,,24.83,Release-0.2.1.0,,False,False,0.0,
26,2019-05-09T21:47:00Z,A001997,,,0.0,74.0,1.265,-0.1527,62.09,,24.85,Release-0.2.1.0,,False,False,0.0,
27,2019-05-09T21:52:01Z,A001997,,,-48.3,74.0,0.7065,-0.08084,60.66,,25.04,Release-0.2.1.0,-79.0,False,False,0.0,
28,2019-05-09T21:57:02Z,A001997,,,0.0,74.0,1.354,-0.3083,62.1,,25.09,Release-0.2.1.0,,False,False,0.0,
29,2019-05-09T22:02:03Z,A001997,,,0.0,74.0,0.406,-0.038169999999999996,60.88,,25.05,Release-0.2.1.0,,False,False,0.0,
30,2019-05-09T22:07:03Z,A001997,,,0.0,74.0,0.4633,0.121,61.26,,25.05,Release-0.2.1.0,,False,False,0.0,
31,2019-05-09T22:12:04Z,A001997,,,0.0,74.0,0.353,0.521,17.1,,25.11,Release-0.2.1.0,,False,False,0.0,
32,2019-05-09T22:17:05Z,A001997,,,0.0,74.0,0.7345,0.4337,19.67,,25.13,Release-0.2.1.0,,False,False,0.0,
33,2019-05-09T22:22:05Z,A001997,,,0.0,74.0,0.5318,0.3499,20.89,,25.05,Release-0.2.1.0,,False,False,0.0,
34,2019-05-09T22:27:06Z,A001997,,,0.0,74.0,1.365,0.05534,18.51,,25.05,Release-0.2.1.0,,False,False,0.0,
35,2019-05-09T22:32:07Z,A001997,,,0.0,74.0,2.853,-0.3938,19.06,,24.99,Release-0.2.1.0,,False,False,0.0,
36,2019-05-09T22:37:08Z,A001997,,,0.0,74.0,0.7517,0.4078,18.65,,24.96,Release-0.2.1.0,,False,False,0.0,
37,2019-05-09T22:42:08Z,A001997,,,0.0,74.0,0.249,0.4776,19.09,,24.95,Release-0.2.1.0,,False,False,0.0,
38,2019-05-09T22:47:09Z,A001997,,,0.0,74.0,3.102,-0.4,17.23,,24.95,Release-0.2.1.0,,False,False,0.0,
39,2019-05-09T22:52:11Z,A001997,,,-50.25,73.3,0.4473,0.3949,20.92,,25.2,Release-0.2.1.0,-87.0,False,False,0.0,
40,2019-05-09T22:57:12Z,A001997,,,0.0,73.0,0.6314,0.2822,19.29,,25.19,Release-0.2.1.0,,False,False,0.0,
41,2019-05-09T23:02:12Z,A001997,,,0.0,73.0,-0.060110000000000004,0.6279,19.91,,25.13,Release-0.2.1.0,,False,False,0.0,
42,2019-05-09T23:07:13Z,A001997,,,0.0,73.0,1.2990000000000002,0.1137,18.23,,25.07,Release-0.2.1.0,,False,False,0.0,
43,2019-05-09T23:12:14Z,A001997,,,0.0,73.0,0.23600000000000002,0.5574,19.6,,25.05,Release-0.2.1.0,,False,False,0.0,
44,2019-05-09T23:17:14Z,A001997,,,0.0,73.0,1.14,0.2027,20.82,,25.1,Release-0.2.1.0,,False,False,0.0,
45,2019-05-09T23:22:15Z,A001997,,,0.0,73.0,0.3975,0.5003,19.13,,25.15,Release-0.2.1.0,,False,False,0.0,
46,2019-05-09T23:27:16Z,A001997,,,0.0,73.0,0.5087,0.436,19.29,,25.15,Release-0.2.1.0,,False,False,0.0,
47,2019-05-09T23:32:17Z,A001997,,,0.0,73.0,1.416,0.1408,19.85,,25.15,Release-0.2.1.0,,False,False,0.0,
48,2019-05-09T23:37:17Z,A001997,,,0.0,73.0,0.546,0.4625,19.48,,25.15,Release-0.2.1.0,,False,False,0.0,
49,2019-05-09T23:42:18Z,A001997,,,0.0,73.0,2.3609999999999998,-0.1386,20.35,,25.22,Release-0.2.1.0,,False,False,0.0,
50,2019-05-09T23:47:19Z,A001997,,,0.0,73.0,0.6027,0.3972,19.94,,25.25,Release-0.2.1.0,,False,False,0.0,
51,2019-05-09T23:52:20Z,A001997,,,-37.15,73.0,0.5229,0.4744,20.0,,25.44,Release-0.2.1.0,-93.0,False,False,0.0,
52,2019-05-09T23:57:20Z,A001997,,,0.0,73.0,1.54,0.1105,19.35,,25.5,Release-0.2.1.0,,False,False,0.0,
53,2019-05-10T00:02:21Z,A001997,,,0.0,73.0,0.5351,0.4621,19.83,,25.45,Release-0.2.1.0,,False,False,0.0,
54,2019-05-10T00:07:22Z,A001997,,,-1.8,73.0,1.62,0.07746,20.42,,25.47,Release-0.2.1.0,,False,False,0.0,
55,2019-05-10T00:12:23Z,A001997,,,0.0,73.0,0.3488,0.4411,19.33,,25.52,Release-0.2.1.0,,False,False,0.0,
56,2019-05-10T00:17:23Z,A001997,,,0.0,73.0,-0.26,0.8126,17.96,,25.51,Release-0.2.1.0,,False,False,0.0,
57,2019-05-10T00:22:24Z,A001997,,,0.0,73.0,0.1952,0.5957,19.26,,25.55,Release-0.2.1.0,,False,False,0.0,
58,2019-05-10T00:27:25Z,A001997,,,0.0,73.0,0.6796,0.4225,16.97,,25.55,Release-0.2.1.0,,False,False,0.0,
59,2019-05-10T00:32:26Z,A001997,,,0.0,73.0,-0.14400000000000002,0.7988,18.85,,25.55,Release-0.2.1.0,,False,False,0.0,
60,2019-05-10T00:37:26Z,A001997,,,0.0,73.0,0.01671,0.6647,18.94,,25.55,Release-0.2.1.0,,False,False,0.0,
61,2019-05-10T00:42:27Z,A001997,,,0.0,73.0,-0.01325,0.6724,20.1,,25.55,Release-0.2.1.0,,False,False,0.0,
62,2019-05-10T00:47:28Z,A001997,,,0.0,73.0,0.3879,0.5115,18.79,,25.61,Release-0.2.1.0,,False,False,0.0,
63,2019-05-10T00:52:30Z,A001997,,,-51.85,73.0,-0.3064,0.8224,19.44,,25.83,Release-0.2.1.0,-93.0,False,False,0.0,
64,2019-05-10T00:57:31Z,A001997,,,0.0,73.0,-0.0232,0.6795,19.01,,25.84,Release-0.2.1.0,,False,False,0.0,
65,2019-05-10T01:02:31Z,A001997,,,0.0,73.0,0.03347,0.6059,18.65,,25.75,Release-0.2.1.0,,False,False,0.0,
66,2019-05-10T01:07:32Z,A001997,,,0.0,73.0,-0.02002,0.6106,19.61,,25.75,Release-0.2.1.0,,False,False,0.0,
67,2019-05-10T01:12:33Z,A001997,,,0.0,73.0,-0.4393,0.843,19.76,,25.75,Release-0.2.1.0,,False,False,0.0,
68,2019-05-10T01:17:33Z,A001997,,,0.0,73.0,-0.2991,0.7881,20.53,,25.75,Release-0.2.1.0,,False,False,0.0,
69,2019-05-10T01:22:34Z,A001997,,,0.0,73.0,-0.4499,0.9633,19.65,,25.75,Release-0.2.1.0,,False,False,0.0,
70,2019-05-10T01:27:35Z,A001997,,,0.0,73.0,-0.09243,0.723,18.79,,25.75,Release-0.2.1.0,,False,False,0.0,
71,2019-05-10T01:32:36Z,A001997,,,0.0,72.4,-0.3805,0.8448,18.86,,25.75,Release-0.2.1.0,,False,False,0.0,
72,2019-05-10T01:37:36Z,A001997,,,0.0,72.0,-0.4773,0.8941,18.3,,25.75,Release-0.2.1.0,,False,False,0.0,
73,2019-05-10T01:42:37Z,A001997,,,0.0,72.0,-0.4655,0.8762,19.64,,25.75,Release-0.2.1.0,,False,False,0.0,
74,2019-05-10T01:47:38Z,A001997,,,0.0,72.0,-0.07877,0.7188,18.01,,25.75,Release-0.2.1.0,,False,False,0.0,
75,2019-05-10T01:52:39Z,A001997,,,-52.05,72.0,-1.261,1.246,18.79,,25.93,Release-0.2.1.0,-89.0,False,False,0.0,
76,2019-05-10T01:57:39Z,A001997,,,0.0,72.0,-0.932,1.1540000000000001,20.32,,25.92,Release-0.2.1.0,,False,False,0.0,
77,2019-05-10T02:02:40Z,A001997,,,0.0,72.0,-0.3122,0.8814,18.64,,25.85,Release-0.2.1.0,,False,False,0.0,
78,2019-05-10T02:07:41Z,A001997,,,0.0,72.0,-0.4002,0.9381,20.35,,25.79,Release-0.2.1.0,,False,False,0.0,
79,2019-05-10T02:12:42Z,A001997,,,0.0,72.0,-0.3409,0.7532,19.34,,25.75,Release-0.2.1.0,,False,False,0.0,
80,2019-05-10T02:17:42Z,A001997,,,0.0,72.0,-0.5946,0.971,19.14,,25.75,Release-0.2.1.0,,False,False,0.0,
81,2019-05-10T02:22:43Z,A001997,,,0.0,72.0,-0.3185,0.7995,20.35,,25.75,Release-0.2.1.0,,False,False,0.0,
82,2019-05-10T02:27:44Z,A001997,,,0.0,72.0,0.003329,0.6189,17.94,,25.75,Release-0.2.1.0,,False,False,0.0,
83,2019-05-10T02:32:44Z,A001997,,,0.0,72.0,-2.66e-06,0.7243,19.81,,25.7,Release-0.2.1.0,,False,False,0.0,
84,2019-05-10T02:37:45Z,A001997,,,0.0,72.0,-1.143,1.229,19.93,,25.65,Release-0.2.1.0,,False,False,0.0,
85,2019-05-10T02:42:46Z,A001997,,,0.0,72.0,-0.2808,0.8232,20.42,,25.65,Release-0.2.1.0,,False,False,0.0,
86,2019-05-10T02:47:47Z,A001997,,,0.0,72.0,-0.4995,1.05,19.29,,25.65,Release-0.2.1.0,,False,False,0.0,
