,time,device,location,lat,long,CGDD,Cl,ET,GDD,LfAirDelta,NDVI,SWdw,maxT,meanT,minT,prate,precip,SLP,Kc,ETc,mean_tbelow,lfw,crop_water_demand,sunshine_duration
0,2019-06-14T00:00:00Z,A000713,5d03f526388cfb64ea23d7f9,40.342,-74.7683,,,1.46034,7.83855,,,5.51664,21.6858,18.3712,13.9913,0.011396600000000002,0.0113965,1016.92635262,,,20.1756,0.0833,0.0113965,2.91666667
1,2019-06-15T00:00:00Z,A000713,5d03f526388cfb64ea23d7f9,40.342,-74.7683,9.5908,0.060180399999999995,5.24768,9.59075,6.4719,0.35858,24.8903,29.7201,19.5236,9.4614,,,1018.35051727,0.34995071,1.83643015,21.8447,0.0,-1.83643,11.25
2,2019-06-16T00:00:00Z,A000713,5d03f526388cfb64ea23d7f9,40.342,-74.7683,24.1202,0.046937599999999996,3.0112900000000002,14.5295,1.68245,0.303133,15.6213,30.5226,22.6965,18.5365,6.04199,6.04199,1011.63458847,0.26916455,0.81053383,23.8469,2.0,5.23146,9.5
3,2019-06-17T00:00:00Z,A000713,5d03f526388cfb64ea23d7f9,40.342,-74.7683,38.704,0.0577128,2.38132,14.5838,1.0561,0.390602,12.7103,31.5432,23.8104,17.6245,0.100998,0.100998,1014.45961832,0.39660736,0.94444831,24.1958,6.9166,-0.84345,10.08333333
4,2019-06-18T00:00:00Z,A000713,5d03f526388cfb64ea23d7f9,40.342,-74.7684,52.1507,0.0671891,1.18413,13.4467,1.8079,0.41761099999999995,9.38302,27.8488,22.2317,19.0446,30.3546,30.3546,1012.99112699,0.43595922,0.51623128,22.7883,7.25,29.8384,5.91666667
5,2019-06-19T00:00:00Z,A000713,5d03f526388cfb64ea23d7f9,40.342,-74.7683,63.7148,0.078659,0.384343,11.5641,0.9865,0.44115299999999996,6.1754,24.0978,21.2178,19.0304,9.198780000000001,9.198780000000001,1010.16012191,0.47026026,0.18074102,21.8429,6.5834,9.01804,5.66666667
6,2019-06-20T00:00:00Z,A000713,5d03f526388cfb64ea23d7f9,40.342,-74.7683,78.2958,0.0785673,1.97508,14.581,1.68335,0.48951400000000006,12.6151,30.7306,23.0844,18.4315,14.2014,14.2014,1002.18077233,0.54072145,1.06796709,23.5839,5.1666,13.1335,8.0
7,2019-06-21T00:00:00Z,A000713,5d03f526388cfb64ea23d7f9,40.342,-74.7683,90.4096,0.0946138,3.35802,12.1137,2.9137,0.503648,17.8078,27.6922,21.3118,16.5351,3.06924,3.06924,1003.86753257,0.56131489,1.88490673,22.5585,4.4166,1.1843299999999999,9.66666667
8,2019-06-22T00:00:00Z,A000713,5d03f526388cfb64ea23d7f9,40.3421,-74.7682,101.17399999999999,0.0815286,5.0301,10.7645,6.3425,0.514518,23.7747,27.4562,20.2593,14.0728,,,1014.03262585,0.57715332,2.90313877,22.3363,0.0,-2.90314,11.25
9,2019-06-23T00:00:00Z,A000713,5d03f526388cfb64ea23d7f9,40.342,-74.7683,112.963,0.06604689999999999,6.29216,11.7889,4.427,0.526058,27.7916,31.6118,22.1801,11.9661,,,1015.8130292999999,0.59396696,3.73733512,23.8744,0.0,-3.73734,11.25
