,time,device,lat,long,batt_current,batt_pct,orient_x,orient_y,orient_z,elev,sys_temp,fw,rssi,auxb_present,auxb_charging,auxb_rev,iccid
0,2019-06-07T16:10:04Z,A000668,40.3033,-74.723,-300.0,96.0,-2.228,1.8419999999999999,31.23,6.0,40.85,Release-0.2.1.1,,,,,8944500308175763443F
1,2019-06-07T16:14:23Z,A000668,,,-17.95,96.0,4.23,-0.7137,32.81,,40.67,Release-0.2.1.1,-77.0,False,False,0.0,
2,2019-06-07T16:19:23Z,A000668,,,30.2,96.0,3.3760000000000003,-0.1316,33.16,,39.92,Release-0.2.1.1,,False,False,0.0,
3,2019-06-07T16:24:24Z,A000668,,,32.45,96.0,6.284,-1.446,34.48,,40.58,Release-0.2.1.1,,False,False,0.0,
4,2019-06-07T16:29:25Z,A000668,,,51.4,96.0,4.013999999999999,-0.4964,35.5,,42.76,Release-0.2.1.1,,False,False,0.0,
5,2019-06-07T16:34:25Z,A000668,,,87.25,96.3,-0.3803,1.9980000000000002,31.55,,45.66,Release-0.2.1.1,,False,False,0.0,
6,2019-06-07T16:39:26Z,A000668,,,104.4,97.0,4.631,-0.7704,35.23,,50.27,Release-0.2.1.1,,False,False,0.0,
7,2019-06-07T16:44:26Z,A000668,,,83.85,97.1,5.3870000000000005,-1.038,36.57,,52.22,Release-0.2.1.1,,False,False,0.0,
8,2019-06-07T16:49:27Z,A000668,,,109.8,98.0,3.8960000000000004,-0.3211,34.02,,53.58,Release-0.2.1.1,,False,False,0.0,
9,2019-06-07T16:54:28Z,A000668,,,85.5,98.0,3.588,-0.1031,36.3,,54.89,Release-0.2.1.1,,False,False,0.0,
10,2019-06-07T16:59:28Z,A000668,,,44.35,99.0,4.621,-0.659,35.57,,54.0,Release-0.2.1.1,,False,False,0.0,
11,2019-06-07T17:04:29Z,A000668,,,5.15,99.0,5.318,-0.9687,34.83,,51.66,Release-0.2.1.1,,False,False,0.0,
12,2019-06-07T17:09:29Z,A000668,,,3.8,99.0,1.661,0.8361,33.32,,48.51,Release-0.2.1.1,,False,False,0.0,
13,2019-06-07T17:14:31Z,A000668,,,-21.05,99.0,-1.8619999999999999,2.3,31.8,,46.69,Release-0.2.1.1,-77.0,False,False,0.0,
14,2019-06-07T17:19:32Z,A000668,,,3.6,99.0,-1.4609999999999999,2.199,32.57,,45.38,Release-0.2.1.1,,False,False,0.0,
15,2019-06-07T17:24:32Z,A000668,,,-1.35,99.0,3.609,-0.2963,31.65,,43.28,Release-0.2.1.1,,False,False,0.0,
16,2019-06-07T17:29:33Z,A000668,,,-0.9,99.0,4.131,-0.4385,27.74,,41.91,Release-0.2.1.1,,False,False,0.0,
17,2019-06-07T17:34:33Z,A000668,,,-3.5,99.0,5.166,-0.9663,30.2,,41.17,Release-0.2.1.1,,False,False,0.0,
18,2019-06-07T17:39:34Z,A000668,,,2.4,99.0,5.147,-0.8602,29.46,,40.95,Release-0.2.1.1,,False,False,0.0,
19,2019-06-07T17:44:35Z,A000668,,,0.0,99.0,4.38,-0.57,30.37,,41.31,Release-0.2.1.1,,False,False,0.0,
20,2019-06-07T17:49:35Z,A000668,,,0.0,99.0,1.349,1.062,31.46,,42.71,Release-0.2.1.1,,False,False,0.0,
21,2019-06-07T17:54:36Z,A000668,,,6.5,99.0,-2.219,2.477,32.39,,44.02,Release-0.2.1.1,,False,False,0.0,
22,2019-06-07T17:59:37Z,A000668,,,6.55,99.0,0.9628,1.3659999999999999,31.07,,45.26,Release-0.2.1.1,,False,False,0.0,
23,2019-06-07T18:04:37Z,A000668,,,14.75,99.0,2.035,0.6734,32.49,,47.4,Release-0.2.1.1,,False,False,0.0,
24,2019-06-07T18:09:38Z,A000668,,,0.0,99.0,2.346,0.508,33.69,,47.42,Release-0.2.1.1,,False,False,0.0,
25,2019-06-07T18:14:38Z,A000668,,,-19.8,98.7,0.9651,1.073,33.1,,47.08,Release-0.2.1.1,-77.0,False,False,0.0,
26,2019-06-07T18:19:38Z,A000668,,,17.1,99.0,0.3174,1.466,34.48,,47.26,Release-0.2.1.1,,False,False,0.0,
27,2019-06-07T18:24:39Z,A000668,,,0.0,99.0,-1.113,2.19,32.14,,46.68,Release-0.2.1.1,,False,False,0.0,
28,2019-06-07T18:29:40Z,A000668,,,0.0,99.0,-2.242,2.5180000000000002,32.18,,45.36,Release-0.2.1.1,,False,False,0.0,
29,2019-06-07T18:34:40Z,A000668,,,28.7,99.0,-0.205,1.815,34.03,,45.76,Release-0.2.1.1,,False,False,0.0,
30,2019-06-07T18:39:41Z,A000668,,,0.0,99.0,-0.08469,1.694,31.57,,47.0,Release-0.2.1.1,,False,False,0.0,
31,2019-06-07T18:44:41Z,A000668,,,0.0,99.0,1.35,0.8791,31.61,,47.2,Release-0.2.1.1,,False,False,0.0,
32,2019-06-07T18:49:42Z,A000668,,,25.05,99.0,-0.5767,1.943,34.32,,47.6,Release-0.2.1.1,,False,False,0.0,
33,2019-06-07T18:54:43Z,A000668,,,0.0,99.0,3.8139999999999996,-0.3703,32.11,,45.21,Release-0.2.1.1,,False,False,0.0,
34,2019-06-07T18:59:43Z,A000668,,,0.0,99.0,6.192,-1.25,31.02,,41.32,Release-0.2.1.1,,False,False,0.0,
35,2019-06-07T19:04:44Z,A000668,,,0.0,99.0,3.04,0.2323,30.05,,41.09,Release-0.2.1.1,,False,False,0.0,
36,2019-06-07T19:09:45Z,A000668,,,91.25,99.0,1.127,1.139,31.02,,46.07,Release-0.2.1.1,,False,False,0.0,
37,2019-06-07T19:14:46Z,A000668,,,39.65,99.0,3.127,0.07119,32.06,,50.5,Release-0.2.1.1,-79.0,False,False,0.0,
38,2019-06-07T19:19:47Z,A000668,,,41.85,99.0,1.518,0.9427,33.69,,50.3,Release-0.2.1.1,,False,False,0.0,
39,2019-06-07T19:24:47Z,A000668,,,0.0,99.0,0.1058,1.633,32.31,,48.35,Release-0.2.1.1,,False,False,0.0,
40,2019-06-07T19:29:48Z,A000668,,,0.0,99.0,2.6260000000000003,0.1865,33.86,,46.08,Release-0.2.1.1,,False,False,0.0,
41,2019-06-07T19:34:49Z,A000668,,,0.0,99.0,6.098,-1.328,33.4,,42.01,Release-0.2.1.1,,False,False,0.0,
42,2019-06-07T19:39:49Z,A000668,,,0.0,99.0,5.233,-1.028,28.41,,39.37,Release-0.2.1.1,,False,False,0.0,
43,2019-06-07T19:44:50Z,A000668,,,0.0,99.0,6.144,-1.2570000000000001,27.92,,38.77,Release-0.2.1.1,,False,False,0.0,
44,2019-06-07T19:49:51Z,A000668,,,0.0,99.0,5.853,-1.1320000000000001,31.64,,39.99,Release-0.2.1.1,,False,False,0.0,
45,2019-06-07T19:54:51Z,A000668,,,0.0,99.0,6.127000000000001,-1.162,29.25,,40.5,Release-0.2.1.1,,False,False,0.0,
46,2019-06-07T19:59:52Z,A000668,,,0.0,99.0,6.22,-1.2590000000000001,26.92,,40.27,Release-0.2.1.1,,False,False,0.0,
47,2019-06-07T20:04:53Z,A000668,,,0.0,99.0,4.159,-0.4802,30.75,,40.92,Release-0.2.1.1,,False,False,0.0,
48,2019-06-07T20:09:53Z,A000668,,,0.0,99.0,4.166,-0.4969,32.38,,41.73,Release-0.2.1.1,,False,False,0.0,
49,2019-06-07T20:14:54Z,A000668,,,-34.95,99.0,-2.5069999999999997,2.592,34.27,,43.52,Release-0.2.1.1,-79.0,False,False,0.0,
50,2019-06-07T20:19:54Z,A000668,,,0.0,99.0,-1.5830000000000002,2.294,34.99,,45.11,Release-0.2.1.1,,False,False,0.0,
