Date,"Sensor Number (1 = Tomato, 2 = Zuccuni)","Type of Trap (G = Ground, P = Pitfall, F = Fly trap) ",Species,Total Count,Number of Legs,Number of wings,Color,Features,Body Segments,Photo,Species? ,pic_id
6/14/19,1,F,fly,9,6,2,black body and legs with faint light brown stipes on the legs,"has a very long third body section that has lines going across it , hair on legs and a little on the body, 2 antenna, second segment looks a little scaly",3 segemnts ,,,
6/14/19,1,F,fly,8,6,2,"the head is brown, second section is siler and the third  has blac and yellow stripes, yellow legs ",the second section is scaly ,3,,hoverfly (flower fly),
6/14/19,2,F,fly,2,6,2,black body and legs with faint light brown stipes on the legs,"has a very long third body section that has lines going across it , hair on legs and a little on the body, 2 antenna, around 4mm in length",3 segemnts ,,,
6/14/19,2,F,beetle,2,cant tell,0,"black all over, light brown legs , very small legs ","two light short brown antenna , shinny outer layer",2,,may bug,
6/14/19,2,G,fly (same as in section 2),5,6,2,black body and legs with faint light brown stipes on the legs,"has a very long third body section that has lines going across it , hair on legs and a little on the body, 2 antenna, second segment looks a little scaly",3 segemnts ,,,
6/14/19,2,G,fly 2,14,6,2,"head and second section are black, third section is brown, brown and black legs","two short black antenna , around 1mm in length",3 segemnts ,,,
6/14/19,2,G,beetle,1,cant tell (probably 6),2,"black head, black/yellow legs, thick yellow and black striped back","very long body, around 4mm in length, two yellow stripes (one on the top and the other on the bottom with a blac one in between)",2,,,
6/14/19,1,P,beetle,1,cant tell (maybe more than 6,0,"different shades of blotchy grey on its body, light grey legs","scaley outer shell, 2 long antennae, looks like it could roll into a ball, around 1cm in size",3,,a roly poly? pill bug,
6/14/19,2,G,beetle,1,cant tell (maybe more than 6,0,"red body with blac dots and red legs, top of head is black","2 black dots and a black zig zag line on its body with one vertical black line on its head, around 3mm in length",2,,bean leaf beetle,
6/14/19,2,P,milipede,1,a lot,0,"black body, light grey legs",around 2cm in size,3,,milipede,
6/14/19,2,G,centipede,1,6,0,yellow body in between two black marks on the end of the body,"less then 1mm in size, all the legs are closer to the front of the body",1,,,
6/14/19,1,P,ant,9,6,0,"black body, golden brown legs","3 distinct segments, around 4mm in size",3,,,
6/14/19,2,G,fly (same as in section 3),1,6,2,"the head is brown, second section is siler and the third  has blac and yellow stripes, yellow legs ",the second section is scaly ,3,,hoverfly (flower fly),
6/14/19,1,P,spider,1,8,2,"beige and grey stripped body, legs are beige","has ~6 small eyes on the front of its face (black), has a cone shaped tail, body is around 1cm in size, with legs, it is around 1.5cm in size",3,,brown recluse?,
6/14/19,2,G,beetle,1,cant tell,0,"red head and legs, brownish red body","2 antenna, small black eyes, long legs compared to its body size, body is about twice the size of its head",2,,,
6/14/19,1,P,beetle,1,6,0,"black body, lighter brown legs","smooth ridges on the outer of its body, antennae that have big beads (same color as the legs), around 3mm in size",2?,,the black bug?,
6/14/19,2,G,beetle (same as cell 5),1,cant tell,0,"black all over, light brown legs , very small legs ","two light short brown antenna , shinny outer layer",2,, may beetle,
6/14/19,2,G,ant,1,6,0,black body/light brown legs,"two small light brown pinchers with a darker brown tip on the end,two black antenna that are beaded ",4,,rover ant,
6/14/19,1,P,beetle,1,6,2,"brown body and tail, dark brown head, ","tail is scaley, translucent wings, brown shoulder pads, around 2mm in size",3,,,
6/14/19,1,P,beetle ,1,6,0,dark brown body and legs,"2 long antennae coming off the front of its head, ridgey body, around 2mm in size",2,,,
