Date,Farm,Sensor Number,"Type of Trap (G = Ground, P = Pitfall, F = Fly trap) ",Species,Total Count,Number of Legs,Number of wings,Color,Features,Body segments,Photo,Species? ,Photo File Name,
6/10/19,PU,1C,P,dark millipede,9,a lot,0,black,scaly,,,Eurymerodesmus spp.,,
6/10/19,PU,1C,P,white millipede,1,a lot,0,black,scaly,,,Eurymerodesmus spp.,,
6/10/19,PU,1C,P,ant?,1,6,0,brown/maroon,"4 segment-head, body, tail; looks like an ant; tail has hairs on it",,,Dolichoderus spp.,,
6/10/19,PU,1C,G,**fly,4,4**,2,black,fuzzy, large multifaceted eyes,,,,
6/10/19,PU,1C,P,beetle,1,6,2?,dark brown,2 antennae,,,,,
6/10/19,PU,1C,G,*Pterostichus spp.,12,6,2,black,2 small antennae, very small head, small tail,3 segments,,
6/10/19,PU,1C,G,,2,6,2,black,small tail,2 segments,,,,
6/10/19,PU,1C,G,beetle,1,6,2,light brown,2 antannae, 2 long tail ends w/ split,3 segments,,,
6/10/19,PU,2C,P,beetle,11,6,2?,dark brown,2 antennae,,,,,
6/10/19,PU,2C,P,dark millipede,5,a lot,0,black,scaly,,,Eurymerodesmus spp.,,
6/10/19,PU,2C,P,white millipede,1,a lot,0,black,scaly,,,Eurymerodesmus spp.,,
6/10/19,PU,2C,F,**Spider,1,8,0,light brown legs and dark bron body,2 antennae,2 segments,,,,
6/10/19,PU,2C,F,,1,**6,2,light brown,2 very long antennae,,,,,
6/10/19,PU,2C,F,,1,,,light grey with black and white stripes,,2 segments,,,,
6/10/19,PU,2C,F,common fly,1,,,,,,,,,
6/10/19,PU,2C,G,common fly,1,,,,large,,,,,
6/10/19,PU,2C,G,common fly,4,,,,small,,,,,
6/10/19,PU,2C,G,,1,6,2,light brown with darker yellow stripes,back segment comes to pointy tip,3 body segments,,,,
6/10/19,PU,2C,G,**mosquito,1,**4,2,black/dark brownish,2 antannae,3 body segments,,,,
6/10/19,PU,3C,P,millipede,1,a lot,0,black,scaly,,,Eurymerodesmus spp.,,
6/10/19,PU,3C,P,white millipede,4,a lot,0,black,scaly,,,Eurymerodesmus spp.,,
6/10/19,PU,3C,P,beetle,3,6,2?,dark brown,2 antennae,,,,,
6/10/19,PU,3C,F,fly or mosquito,1,,,,,3 body segments,,,,
6/10/19,PU,3C,G,,6,6,4,dark brown color,2 very small antannae,2 body segments,,,,
6/10/19,PU,3C,F,fly?,1,6,2,yellow wings,"has fly eyes, whiteish legs",3,,,,
6/10/19,PU,3C,F,fly?,1,6,2,"translucent wings, black",,,,,,
6/10/19,PU,3C,F,beetle,1,6,2,black wings,"wings folded behind body, wings kinda look like shell",,,"the black bug, Corimelaena pulicaria",,
6/10/19,PU,4C,P,millipede,3,a lot,0,black,scaly,,,Eurymerodesmus spp.,,
6/10/19,PU,4C,F,,1,6,2,black,2 small antannae,3 body segments,,,,
6/10/19,PU,4C,G,common fly,5,,,,,,,,,
6/10/19,PU,4C,G,**gnats,2,,,,,,,,,
6/10/19,PU,5C,P,beetle,2,6,2?,dark brown,2 antennae,,,,,
6/10/19,PU,5C,P,millipede,1,a lot,0,black,scaly,,,Eurymerodesmus spp.,,
6/10/19,PU,5C,P,white millipede,2,a lot,0,black,scaly,,,Eurymerodesmus spp.,,
6/10/19,PU,5C,P,spider,1,8,,dark brown,striped body,,,,,
6/10/19,PU,5C,F,,9,6,2,mid-brown,"tail (kind of), pointed 3rd section, very skinny body with very small head",3 body segments,,,,
6/10/19,PU,5C,G,beetle,1,6,might have 2 tucked back,"maroon (really dark, almost black), light brown legs","2 antennae, 1mm or less in size",3 segments but progress smoothly,,,,
6/10/19,PU,5C,G,fly,30,6,2,"dark brown/almost black, legs same color","same fly eyes, translucent/brown wings, textured torso that is kind of reflective",3 segments,,,,
6/10/19,PU,5C,G,flying insect,2,6,2,"black body, light brown legs, dark brown antennae","clear, long wings, one antennae (composed of beads lined up)",3 segments,,,,
6/10/19,PU,5C,G,fly,4,6,2,translucent wings, black, yellow stripes,"tail has yellow stripes through it, less than a millimeter",3 segments,,Flower flies (family Syrphidae)
6/10/19,PU,5C,G,fly,2,6,2,"translucent wings, black body (torso is kind of irradescent), brown legs","few hairs, fly eyes",3 segments,,,,
6/10/19,PU,5C,G,larvae?,1,0,0,"white at the end, brown towards the top with white stripes","shape of a loaf of bread, ",1,,,,
6/10/19,PU,5C,G,ant,1,6,0,"light brown (almost orangey), 2 distinctly black eyes,",small antennae made up of beads,3 segments,,,,
6/10/19,PU,5C,G,fly,1,6,unsure if wings are present,"black body, translucent brown legs","thick legs and have small hairs on it, abdomen has hairs on it ",3 segments?,,,,
6/10/19,PU,5C,G,fly,1,6,2,"almost black body, end of it has stripes, clear legs","long legs, 2-3mm, big fly eyes",3 segments,,common oblique syrphid fly,,
6/10/19,PU,5C,G,summer mosquito,1,6,4,"light brown body, ",2 small antennae,3 segments but abdomen is significantly longer,,summer mosquito,,
6/10/19,PU,5C,G,beatle,1,6,2,"dark brown body, dark brown legs","flat head, 2 antennae, ",2 segments,,,,
6/10/19,PU,6C,P,beetle,3,6,2?,dark brown,2 antennae,,,,,
6/10/19,PU,6C,P,millipede,2,a lot,0,black,scaly,,,Eurymerodesmus spp.,,
6/10/19,PU,6C,G,,1,6,0,green,"small, 2 antannae",2 body segments,,,,
6/10/19,PU,6C,G,**beetle,1,6,2,"black, reddish head",2 antannae,1 body segment,,,,
6/10/19,PU,6C,G,fly,1,6,2,translucent wings, black, yellow stripes,"tail has yellow stripes through it, less than a millimeter",3 segments,,
6/10/19,PU,6C,G,fly,1,6,2,completely black throughout,"wings were clear but we can't tell, fly eyes",3 segments,,,,
6/10/19,PU,6C,G,fly,7,6,2,"black, clear wings","less than a millimeter long, fly eyes",3 segments,,,,
6/10/19,PU,6C,G,fly,3,6,2,"black, clear wings","~3 mm long, hairs coming off thorax",3 segments,,house fly,,
6/10/19,PU,6C,G,ant,1,6,0,"black, legs are a lighter brown",>3mm,3 segments,,,,
6/10/19,PU,6C,G,gnat?,1,6,2,"black, clear wings","small, long legs",,,,,
6/10/19,PU,6C,G,spider,1,8,,"dark brown body, light brown legs",~1mm,,,,,
6/10/19,PU,7C,P,millipede,6,a lot,0,black,scaly,,,Eurymerodesmus spp.,,
6/10/19,PU,7C,P,white millipede,1,a lot,0,black,scaly,,,Eurymerodesmus spp.,,
6/10/19,PU,7C,G,mosquito,12,6,2,light brown legs and a dark brown and black body,thin body with long legs ,,,,7g6-10a,
6/10/19,PU,7C,G,beetle,1,6?,0,"has one large brown strip on the top of its body and then two light grey strips underneath, brown/ reddish head and black legs","hairy all over, large black eyes",2 segments,,,7g6-10b,
