DATE,FARM,CT_ID,VID,IMG,TIME,TEMP (C),QUANTITY,ANIMAL,MATURITY,SEX,MOVEMENT_TO,EATING_CROP,HUNTING,IN FENCE,SPECIES,NOTE
"June 11, 2019",PU Corn,PUC_CT_W,puc-w-deer-1,puc-w-deer-1,21:07,18,1,deer,Adult,Female,East,FALSE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_W,puc-w-deer-2,puc-w-deer-2,21:25,18,1,deer,Adult,Female,South,FALSE,FALSE,FALSE,,
"June 12, 2019",PU Corn,PUC_CT_W,,puc-2-deer-3,0:53,15,1,deer,Adult,Female,South,FALSE,FALSE,FALSE,,
"June 10, 2019",PU Corn,PUC-CT_WF,,puc-wf-deer-1,22:30,22,1,deer,Adult,Female,,FALSE,FALSE,TRUE,,
,PU Corn,PUC_CT_SF,puc-sf-fox-1,puc-sf-fox-1,,12,1,fox,Adult,,West,FALSE,TRUE,TRUE,,
"June 11, 2019",PU Corn,PUC_CT_S,,puc-s-deer-1,2:13,22,1,deer,Adult,Female,South,TRUE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_S,puc-s-deer-2,puc-s-deer-2,22:54,16,1,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_S,puc-s-deer-3,puc-s-deer-3,23:05,17,2,deer,Adult,Female,South,TRUE,FALSE,FALSE,,
"June 10, 2019",PU Corn,PUC_CT_E,puc-e-deer-1,,17:20,25,2,deer,Adult,Female,West,TRUE,FALSE,FALSE,,
"June 10, 2019",PU Corn,PUC_CT_E,puc-e-deer-2,puc-e-deer-2,17:26,24,1,deer,Adult,Female,West,TRUE,FALSE,FALSE,,
"June 10, 2019",PU Corn,PUC_CT_E,puc-e-deer-3,puc-e-deer-3,19:59,23,1,deer,Adult,Male,North,FALSE,FALSE,FALSE,,
"June 10, 2019",PU Corn,PUC_CT_E,puc-e-deer-4,puc-e-deer-4,20:03,23,2,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 10, 2019",PU Corn,PUC_CT_E,,puc-e-deer-5,23:31,22,1,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_E,,puc-e-deer-6,20:19,22,1,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 12, 2019",PU Corn,PUC_CT_E,,puc-e-deer-7,0:13,16,1,deer,Adult,Male,South,FALSE,FALSE,FALSE,,
"June 10, 2019",PU Corn,PUC_CT_EF,puc-ef-deer-1,,22:35,22,1,deer,Adult,,North,FALSE,FALSE,TRUE,,
"June 11, 2019",PU Corn,PUC_CT_EF,puc-ef-birds-1,puc-ef-birds-1,6:28,20,1,bird,Adult,Male,,FALSE,TRUE,TRUE,robin,
"June 11, 2019",PU Corn,PUC_CT_EF,puc-ef-birds-1,puc-ef-birds-1,6:28,20,2,bird,Adult,Female,,FALSE,TRUE,TRUE,robin,
"June 12, 2019",PU Corn,PUC_CT_EF,puc-ef-deer-2,puc-ef-deer-2,7:22,19,1,deer,Adult,Female,,FALSE,FALSE,TRUE,,Looks like just jumped in fence
"June 12, 2019",PU Corn,PUC_CT_EF,puc-ef-deer-3,puc-ef-deer-3,7:35,21,1,deer,Adult,Female,,FALSE,FALSE,TRUE,,Wandering Around
"June 12, 2019",PU Corn,PUC_CT_EF,puc-ef-deer-4,puc-ef-deer-4,7:36,22,1,deer,Adult,Female,South,FALSE,FALSE,TRUE,,Bit fence
"June 12, 2019",PU Corn,PUC_CT_EF,puc-ef-deer-5,puc-ef-deer-5,7:48,22,1,deer,Adult,Female,,FALSE,FALSE,TRUE,,
"June 10, 2019",PU Corn,PUC_CT_N,puc-n-deer-1,puc-n-deer-1,5:31,24,1,deer,Adult,Female,North,TRUE,FALSE,FALSE,,
"June 10, 2019",PU Corn,PUC_CT_N,puc-n-deer-2,puc-n-deer-2,5:32,24,1,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 10, 2019",PU Corn,PUC_CT_N,puc-n-deer-3,puc-n-deer-3,7:20,23,1,deer,Adult,Female,East,TRUE,FALSE,FALSE,,
"June 10, 2019",PU Corn,PUC_CT_N,puc-n-deer-3,puc-n-deer-3,7:20,23,2,bird,Adult,,,FALSE,TRUE,FALSE,starling,
"June 11, 2019",PU Corn,PUC_CT_N,puc-n-deer-4,puc-n-deer-4,5:54,20,1,deer,Adult,Female,East,TRUE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_N,puc-n-deer-5,puc-n-deer-5,17:23,33,2,deer,Adult,Female,,TRUE,FALSE,FALSE,,"Flicking tails violently, presumably many insects"
"June 11, 2019",PU Corn,PUC_CT_N,puc-n-deer-6,puc-n-deer-6,17:25,33,4,deer,Adult,,,TRUE,FALSE,FALSE,,"Flicking tails violently, presumably many insects"
"June 11, 2019",PU Corn,PUC_CT_N,puc-n-deer-7,puc-n-deer-7,20:43,19,1,deer,Adult,Female,West,TRUE,FALSE,FALSE,,
