date,plot,deer_count
2019-06-24,1,2.0
2019-06-24,2,2.0
2019-06-24,3,0.0
2019-06-24,4,0.0
2019-06-24,5,0.0
2019-06-24,6,0.0
2019-06-24,7,0.0
2019-06-24,8,0.0
2019-07-01,1,60.0
2019-07-01,2,60.0
2019-07-01,3,1.0
2019-07-01,4,1.0
2019-07-01,5,3.0
2019-07-01,6,3.0
2019-07-01,7,9.0
2019-07-01,8,9.0
2019-07-08,1,6.0
2019-07-08,2,6.0
2019-07-08,3,5.0
2019-07-08,4,5.0
2019-07-08,5,2.0
2019-07-08,6,2.0
2019-07-08,7,1.0
2019-07-08,8,1.0
2019-07-16,1,8.0
2019-07-16,2,8.0
2019-07-16,3,1.0
2019-07-16,4,1.0
2019-07-16,5,0.0
2019-07-16,6,0.0
2019-07-16,7,1.0
2019-07-16,8,1.0
2019-07-22,1,5.0
2019-07-22,2,5.0
2019-07-22,3,2.0
2019-07-22,4,2.0
2019-07-22,5,2.0
2019-07-22,6,2.0
2019-07-22,7,2.0
2019-07-22,8,2.0
